model_name,train_scope,date,target_lang,BLEU,ChrF++,notes
helsinki/v4/phase_2/model_step_5000,multi,2024-11-08 10:21:25,chatino,3.444,20.296,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_5000,multi,2024-11-08 10:22:18,hñähñu,0.136,5.378,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_99000,multi,2024-11-08 10:22:28,wixarika,0.796,11.915,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_5000,multi,2024-11-08 10:23:24,nahuatl,0.072,6.172,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:24:28,ashaninka,0.197,11.642,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_5000,multi,2024-11-08 10:25:26,raramuri,0.054,6.903,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:26:22,bribri,0.437,8.882,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_5000,multi,2024-11-08 10:27:27,wixarika,0.216,6.954,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:27:41,guarani,1.187,17.092,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:28:41,quechua,0.342,21.343,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:29:38,ashaninka,0.215,10.432,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:30:33,aymara,0.349,11.63,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:31:55,bribri,0.652,8.473,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:32:27,shipibo_konibo,0.39,11.39,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:33:10,guarani,0.932,16.628,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:34:23,quechua,0.301,20.548,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:34:35,chatino,4.894,26.798,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:35:31,hñähñu,0.194,7.839,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:36:38,nahuatl,0.33,8.521,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:36:44,aymara,0.247,10.175,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:38:31,raramuri,0.141,9.262,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:39:02,shipibo_konibo,0.294,10.929,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-08 10:40:27,wixarika,0.294,9.812,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:41:14,chatino,4.563,25.455,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:42:03,ashaninka,0.47,13.327,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:42:28,hñähñu,0.135,8.513,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:43:34,bribri,0.725,10.681,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:43:50,nahuatl,0.165,8.753,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:44:45,guarani,1.386,19.876,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:45:46,quechua,0.434,23.884,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:46:06,raramuri,0.139,9.109,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:47:16,aymara,0.747,14.405,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-08 10:48:23,wixarika,0.912,9.645,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:48:45,shipibo_konibo,0.846,15.055,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:50:54,chatino,5.214,26.572,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:51:37,hñähñu,0.401,9.94,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:52:26,nahuatl,0.516,10.422,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:53:56,raramuri,0.362,11.472,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_110000,multi,2024-11-08 10:55:27,wixarika,0.89,12.297,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_28000,multi,2024-11-10 14:35:54,ashaninka,0.197,11.642,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
helsinki/v4/phase_2/model_step_25000,multi,2024-11-10 14:36:03,ashaninka,0.215,10.432,"Helsinki Phase 2 Finetune new Tokenizer and Non-Normalized data (except for ctp, bzd,nah)"
mono_gen/gen_quechua,bi,2024-11-11 02:36:45,quechua,1.8,32.858,testing <gen> addition for quy monolingual corpora
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 10:47:52,ashaninka,0.25,10.981, time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 10:48:09,ashaninka,0.388,11.62,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 10:48:21,ashaninka,0.09,6.956,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 10:49:35,bribri,0.369,8.25,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 10:50:07,bribri,0.581,9.198,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 10:50:50,bribri,0.159,6.052,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 10:50:53,guarani,0.934,16.317,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 10:51:32,guarani,0.945,16.983,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 10:51:51,quechua,0.324,21.057,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 10:52:37,quechua,0.429,21.674,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 10:52:41,guarani,0.266,12.046,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 10:53:35,quechua,0.23,17.833,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 10:53:38,aymara,0.264,10.605,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 10:54:37,aymara,0.333,11.417,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 10:55:26,shipibo_konibo,0.379,12.817,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 10:56:02,aymara,0.082,6.45,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 10:56:36,shipibo_konibo,0.393,11.824,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 10:57:37,chatino,4.783,25.431,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 10:58:29,hñähñu,0.195,8.564,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 10:58:29,shipibo_konibo,0.095,6.965,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 10:58:38,chatino,4.797,26.524,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 10:59:28,nahuatl,0.315,8.636,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 10:59:34,hñähñu,0.349,8.277,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 11:00:43,nahuatl,0.363,9.258,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 11:01:15,raramuri,0.154,9.642,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 11:02:28,chatino,1.76,16.417,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_28000,multi,2024-11-12 11:02:44,raramuri,0.222,9.661,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_25000,multi,2024-11-12 11:03:03,wixarika,1.191,10.319,time cut short dev on 0.3*12 of langs
helsinki/v5/phase_2/model_step_0,multi,2024-11-12 11:03:44,hñähñu,0.078,4.549,time cut short dev on 0.3*12 of langs
